mergesort,1000,10308,16483,7,3
mergesort,1000,10308,16483,7,2
mergesort,1000,10361,16554,7,1893333
quicksort,1000,11264,5715,7,1519625
select,1000,0,0,0,7338125
closest,1000,0,0,0,3119083
mergesort,5000,58947,105397,10,2807209
quicksort,5000,75182,35224,8,1326625
select,5000,0,0,0,5410500
closest,5000,0,0,0,6053542
mergesort,10000,128081,231012,11,3569042
quicksort,10000,167922,84297,9,2007000
select,10000,0,0,0,4380250
closest,10000,0,0,0,4587917
mergesort,1000,1945750,7,10439,16654
quicksort,1000,1482125,7,10751,4213
select,1000,7628167,0,0,0
closest,1000,3961875,0,0,0
mergesort,5000,2235750,10,59080,105521
quicksort,5000,1372292,9,70569,34643
select,5000,4628750,0,0,0
closest,5000,6056917,0,0,0
mergesort,10000,2798083,11,128145,231079
quicksort,10000,1021666,8,163185,79993
select,10000,6743333,0,0,0
closest,10000,3424166,0,0,0
mergesort,1000,2604100,7,10308,16532
quicksort,1000,2601400,6,10782,5018
select,1000,8855800,0,0,0
closest,1000,5195600,0,0,0
mergesort,5000,3143100,10,59142,105583
quicksort,5000,1255500,8,67100,31659
select,5000,8283400,0,0,0
closest,5000,7857800,0,0,0
mergesort,10000,3574900,11,128171,230970
quicksort,10000,1498300,10,148533,68945
select,10000,7603600,0,0,0
closest,10000,6745100,0,0,0
mergesort,1000,2644400,7,10443,16645
quicksort,1000,2708400,7,10824,5111
select,1000,7998100,0,0,0
closest,1000,5270500,0,0,0
mergesort,5000,4085900,10,59101,105575
quicksort,5000,1332800,8,72619,37019
select,5000,5774400,0,0,0
closest,5000,7769400,0,0,0
mergesort,10000,3965400,11,128034,230880
quicksort,10000,1356100,10,156872,87360
select,10000,7811000,0,0,0
closest,10000,8172900,0,0,0
